SMD_Solve_time,SMD_Iter,SMD_Max_Iter,SMD_dual_time,FMD_Solve_time,FMD_Iter,FMD_Max_Iter,FMD_dual_time
331.990353345871,93167.0,465847.0,32.96986269950867,285.65217661857605,23487.0,117446.0,26.377495765686035
325.2976129055023,90952.0,454771.0,30.47689914703369,235.16037726402283,23119.0,115607.0,20.12898063659668
309.5440080165863,87362.0,436823.0,29.981076955795288,330.745995759964,22267.0,111345.0,30.48165488243103
339.80733823776245,94724.0,473634.0,32.39606428146362,343.4269642829895,23153.0,115775.0,31.774847269058228
301.36957454681396,82641.0,413215.0,35.22327470779419,355.7176260948181,22585.0,112938.0,37.19442129135132
300.68725752830505,82551.0,412765.0,30.74839973449707,228.6695375442505,20917.0,104595.0,20.06402015686035
313.0273172855377,86354.0,431784.0,33.24583339691162,224.81028056144714,21142.0,105720.0,20.55115032196045
287.20498991012573,81166.0,405842.0,32.20943474769592,334.3203468322754,22658.0,113302.0,34.820234060287476
300.4632432460785,82189.0,410959.0,36.26125240325928,362.09136629104614,23350.0,116763.0,42.94270396232605
278.9827444553375,75954.0,379781.0,31.631189823150635,347.76360964775085,22197.0,110998.0,35.31859540939331
255.32415437698364,70564.0,352834.0,28.278621196746826,266.9807059764862,21904.0,109532.0,24.81137180328369
321.80071997642517,77757.0,388795.0,33.66654419898987,311.8909378051758,22330.0,111661.0,27.400026559829712
295.90893816947937,82780.0,413913.0,30.541706085205078,339.55592012405396,22438.0,112204.0,30.93972945213318
276.4214298725128,76244.0,381233.0,32.1916401386261,337.50086545944214,20930.0,104661.0,39.528255462646484
310.61003255844116,86127.0,430647.0,30.99972915649414,313.11059165000916,23499.0,117509.0,29.177135944366455
346.1259264945984,85213.0,426076.0,37.09897446632385,386.80651473999023,22985.0,114938.0,36.48029851913452
316.3631012439728,87359.0,436808.0,31.566181898117065,252.6641550064087,22818.0,114103.0,23.783701419830322
336.4695613384247,93966.0,469840.0,31.447875022888184,273.10616302490234,23481.0,117419.0,26.180521249771118
337.2681529521942,94073.0,470378.0,33.27562379837036,288.6491045951843,23379.0,116907.0,28.54375910758972
308.1879012584686,86319.0,431608.0,30.79629945755005,238.96938943862915,22806.0,114040.0,20.530591249465942
