SMD_Solve_time,SMD_Iter,SMD_Max_Iter,SMD_dual_time,FMD_Solve_time,FMD_Iter,FMD_Max_Iter,FMD_dual_time
490.9788098335266,77138.0,385701.0,37.83948230743408,646.9734916687012,20884.0,104431.0,24.045883178710938
679.397474527359,94949.0,474758.0,48.1920006275177,656.3816545009613,23323.0,116626.0,23.725208044052124
557.3547308444977,89401.0,447019.0,38.21918058395386,644.1266977787018,23311.0,116567.0,22.27422523498535
513.6552834510803,81711.0,408566.0,36.38071799278259,641.7319486141205,21121.0,105619.0,22.5721378326416
544.4072816371918,86678.0,433400.0,37.358606576919556,693.8231415748596,22671.0,113365.0,23.446558952331543
496.04632592201233,78550.0,392760.0,36.89564251899719,665.1208956241608,21374.0,106884.0,23.179996013641357
514.7415156364441,82699.0,413508.0,36.1152446269989,566.1170198917389,20089.0,100458.0,20.470468044281006
515.9928603172302,81680.0,408414.0,39.965442180633545,701.0453095436096,22736.0,113692.0,25.988391637802124
511.00524067878723,81555.0,407785.0,36.68132400512695,651.2333631515503,21061.0,105317.0,22.57124638557434
444.08984661102295,69998.0,350002.0,34.758432149887085,662.1246471405029,21962.0,109821.0,21.978262424468994
447.1241919994354,70609.0,353057.0,34.44438433647156,577.715434551239,18744.0,93732.0,21.855137825012207
516.2012507915497,82232.0,411173.0,36.746875524520874,685.3501543998718,22956.0,114794.0,22.944380283355713
504.3491938114166,79357.0,396798.0,37.74773955345154,650.7899191379547,20154.0,100782.0,24.833898305892944
393.41590690612793,61674.0,308381.0,32.491552114486694,570.0067374706268,18918.0,94603.0,20.789881944656372
505.0320451259613,80056.0,400294.0,36.45399022102356,658.0809121131897,21394.0,106982.0,22.086480379104614
487.3506028652191,76820.0,384113.0,36.15535497665405,608.5967016220093,20051.0,100267.0,21.213183641433716
509.4388244152069,80229.0,401158.0,39.0704984664917,707.6636140346527,23227.0,116146.0,23.294886589050293
433.61563372612,67145.0,335735.0,37.81343865394592,606.8190271854401,19795.0,98986.0,24.422754287719727
508.85825181007385,80685.0,403435.0,36.682860374450684,556.6270995140076,19681.0,98419.0,21.1434907913208
559.6807482242584,89691.0,448469.0,37.77289295196533,669.4502294063568,23160.0,115813.0,21.265081882476807
