SMD_Solve_time,SMD_Iter,SMD_Max_Iter,FMD_Solve_time,FMD_Iter,FMD_Max_Iter,SMD_Dual_Solve_time,FMD_Dual_Solve_time
368.6799533367157,214590.0,268257.0,222.43452095985413,56217.0,66154.0,9.630465030670166,1.2619359493255615
359.84247183799744,207758.0,259700.0,213.91111278533936,54738.0,64404.0,9.57665729522705,1.2538859844207764
333.4194302558899,193498.0,258004.0,222.02564573287964,57202.0,63579.0,8.795989990234375,1.3513798713684082
337.74783158302307,197353.0,263157.0,213.01255774497986,54602.0,64248.0,8.899168252944946,1.3472113609313965
345.6111011505127,199468.0,265976.0,207.09714698791504,53102.0,66384.0,9.042644262313843,1.221449375152588
347.1015274524689,202678.0,270251.0,225.3770875930786,56540.0,66521.0,9.148157835006714,1.3191871643066406
331.107586145401,191443.0,255272.0,203.21877026557922,51230.0,64056.0,8.740659713745117,1.2291603088378906
329.96868801116943,190370.0,271966.0,206.53251099586487,52318.0,69779.0,8.620691537857056,2.2310338020324707
350.633460521698,205198.0,256506.0,219.2760624885559,56438.0,66400.0,9.536431550979614,1.3093931674957275
342.4186165332794,196753.0,262355.0,213.0816740989685,53871.0,63396.0,9.077382564544678,1.2884244918823242
368.0299837589264,213582.0,266995.0,239.7769010066986,59830.0,66494.0,9.752305507659912,1.398603916168213
332.9576394557953,192613.0,256820.0,209.47984528541565,53293.0,62716.0,8.707020044326782,1.2713420391082764
353.2416687011719,205918.0,257404.0,224.16050243377686,57220.0,63587.0,9.563510656356812,1.3708183765411377
346.8853826522827,202153.0,269545.0,211.09640169143677,54041.0,63583.0,9.12605595588684,1.2990686893463135
349.7352120876312,206718.0,258408.0,228.58131957054138,57778.0,64212.0,9.320136308670044,1.3192691802978516
356.22738456726074,196258.0,261687.0,219.93710684776306,54976.0,64681.0,9.080911636352539,1.3072631359100342
360.08463311195374,211438.0,264303.0,228.65949034690857,57598.0,64001.0,9.550392866134644,1.3723375797271729
375.9551930427551,217598.0,272001.0,235.5700705051422,60994.0,71763.0,9.937241792678833,1.2218315601348877
366.29419207572937,209246.0,261574.0,219.81594228744507,55299.0,65060.0,9.943323135375977,1.227644920349121
333.028112411499,193558.0,258087.0,198.0826153755188,51502.0,64384.0,8.938310861587524,1.124483346939087
